
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:25:48
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267654, Time: 16-Feb-21 00:25:58
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 00:26:03
Alarm: aai1, Tag: ai1, Value: 6.29320391049838, Time: 16-Feb-21 00:26:13
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:26:18
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:26:23
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:26:29
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:26:34
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:26:39
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:26:44
Alarm: aai1, Tag: ai1, Value: 5.44639035015027, Time: 16-Feb-21 00:26:49
Alarm: aai1-3, Tag: ai1, Value: 1, Time: 16-Feb-21 00:26:59
Alarm: aai1-3, Tag: ai1, Value: 2.07911690817759, Time: 16-Feb-21 00:27:04
Alarm: aai1, Tag: ai1, Value: 6.69130606358858, Time: 16-Feb-21 00:27:14
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:27:19
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:27:24
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:27:29
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:27:34
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:27:39
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:27:44
Alarm: aai1, Tag: ai1, Value: 5.44639035015027, Time: 16-Feb-21 00:27:49
Alarm: aai1-3, Tag: ai1, Value: 1, Time: 16-Feb-21 00:27:59
Alarm: aai1-3, Tag: ai1, Value: 2.07911690817759, Time: 16-Feb-21 00:28:04
Alarm: aai1, Tag: ai1, Value: 6.69130606358858, Time: 16-Feb-21 00:28:14
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:28:19
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:28:24
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:28:29
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:28:34
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:28:39
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:28:44
Alarm: aai1, Tag: ai1, Value: 5.44639035015027, Time: 16-Feb-21 00:28:49
Alarm: aai1-3, Tag: ai1, Value: 1, Time: 16-Feb-21 00:28:59
Alarm: aai1-3, Tag: ai1, Value: 2.07911690817759, Time: 16-Feb-21 00:29:04
Alarm: aai1, Tag: ai1, Value: 6.69130606358858, Time: 16-Feb-21 00:29:14
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:29:20
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:29:25
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:29:30
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:29:35
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:29:40
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:29:45
Alarm: aai1-3, Tag: ai1, Value: 2.58819045102521, Time: 16-Feb-21 00:29:55
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:30:15
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:32:16
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:32:21
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:32:26
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:32:31
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:32:36
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:32:41
Alarm: aai1, Tag: ai1, Value: 6.69130606358858, Time: 16-Feb-21 00:32:46
Alarm: aai1-3, Tag: ai1, Value: 2.07911690817759, Time: 16-Feb-21 00:32:56
Alarm: aai1-3, Tag: ai1, Value: 1, Time: 16-Feb-21 00:33:01
Alarm: aai1, Tag: ai1, Value: 5.44639035015027, Time: 16-Feb-21 00:33:11
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:33:16
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:33:21
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:33:26
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:33:31
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:33:36
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:33:41
Alarm: aai1, Tag: ai1, Value: 6.29320391049837, Time: 16-Feb-21 00:33:47
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 00:33:57
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267653, Time: 16-Feb-21 00:34:02
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:34:12
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:34:17
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:34:22
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:34:27
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:34:32
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:34:37
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:34:42
Alarm: aai1, Tag: ai1, Value: 6.29320391049837, Time: 16-Feb-21 00:34:47
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 00:34:57
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267653, Time: 16-Feb-21 00:35:02
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:35:12
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:35:17
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:35:22
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:35:27
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:35:32
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:35:37
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:35:42
Alarm: aai1, Tag: ai1, Value: 6.29320391049837, Time: 16-Feb-21 00:35:47
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 00:35:57
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267653, Time: 16-Feb-21 00:36:02
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:36:12
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:36:17
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:36:22
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:36:27
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:36:32
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:36:37
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:36:42
Alarm: aai1, Tag: ai1, Value: 6.29320391049837, Time: 16-Feb-21 00:36:47
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 00:36:57
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267653, Time: 16-Feb-21 00:37:02
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:37:12
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:37:17
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:37:22
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:37:27
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:37:33
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:37:38
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:37:43
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:37:48
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267654, Time: 16-Feb-21 00:37:58
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 00:38:03
Alarm: aai1, Tag: ai1, Value: 6.29320391049838, Time: 16-Feb-21 00:38:13
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:38:18
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:38:23
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:38:28
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:38:33
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:38:38
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:38:43
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:38:48
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267654, Time: 16-Feb-21 00:38:58
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 00:39:03
Alarm: aai1, Tag: ai1, Value: 6.29320391049838, Time: 16-Feb-21 00:39:13
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:39:18
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:39:23
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:39:28
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:39:33
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:39:38
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:39:43
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:39:48
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267654, Time: 16-Feb-21 00:39:58
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 00:40:03
Alarm: aai1, Tag: ai1, Value: 6.29320391049838, Time: 16-Feb-21 00:40:13
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:40:18
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:40:23
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:40:28
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:40:33
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:40:38
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:40:43
Alarm: aai1, Tag: ai1, Value: 5.87785252292473, Time: 16-Feb-21 00:40:48
Alarm: aai1-3, Tag: ai1, Value: 1.04528463267654, Time: 16-Feb-21 00:40:58
Alarm: aai1-3, Tag: ai1, Value: 1.56434465040231, Time: 16-Feb-21 00:41:03
Alarm: aai1, Tag: ai1, Value: 6.29320391049838, Time: 16-Feb-21 00:41:13
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:41:19
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:41:24
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:41:29
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:41:34
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:41:39
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:41:44
Alarm: aai1, Tag: ai1, Value: 5.44639035015027, Time: 16-Feb-21 00:41:49
Alarm: aai1-3, Tag: ai1, Value: 1, Time: 16-Feb-21 00:41:59
Alarm: aai1-3, Tag: ai1, Value: 2.07911690817759, Time: 16-Feb-21 00:42:04
Alarm: aai1, Tag: ai1, Value: 6.69130606358858, Time: 16-Feb-21 00:42:14
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:42:19
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:42:24
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:42:29
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:42:34
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:42:39
Alarm: aai1, Tag: ai1, Value: 7, Time: 16-Feb-21 00:42:44
Alarm: aai1, Tag: ai1, Value: 5.44639035015027, Time: 16-Feb-21 00:42:49
Alarm: aai1-3, Tag: ai1, Value: 1, Time: 16-Feb-21 00:42:59
Alarm: aai1-3, Tag: ai1, Value: 2.07911690817759, Time: 16-Feb-21 00:43:04
